Encrypted_Text,Cipher_Type
Wkh Wudjhglh ri Pdfehwk,Caesar
Jxo Dbwwozyo ep Wkyropx,Vigenère
PDKLMRIFBKFMEOMBCIPD,Playfair
TTe Meh rgdeo abteaifch,Rail Fence
Zrc Zpimcxwc ah Qisnczr,Affine
Dfwxv Sulpxv. Vfrhqd Sulpd.,Caesar
Qsdqi Fhsikc. Wyeojq Fhsiq.,Vigenère
MBLZTQAKCMXALBMFARTOEABA,Playfair
Asi.o mcu rms ceaPiatPuSnr.,Rail Fence
Iszeu Fpwqeu. Usacvi Fpwqi.,Affine
Wkxqghu dqg Oljkwqlqj. Hqwhu wkuhh Zlwfkhv.,Caesar
Jxejton kjt Byqdjxedq. Ijjon ddhoa Aejmduc.,Vigenère
PDWMCKMRRYSEFYQRGAIFRQKMPDMKGUKSHYIL,Playfair
TdaLtgn eiehne n ihnn.EtrtreWthsurdgi eh c.,Rail Fence
Zrevxcp ivx Lwmrzvwvm. Cvzcp zrpcc Owzsrcu.,Affine
1. Zkhq vkdoo zh wkuhh phhw djdlqh?,Caesar
1. Mxoj cdqvh ga ddhoa waud qqwyxa?,Vigenère
VYGMPBMSQUKLDOIULCIUKLNIBSMG,Playfair
1hsl eean.We hl etreme gie nawh ta?,Rail Fence
1. Orcv urill oc zrpcc qccz imiwvc?,Affine
"Lq Wkxqghu, Oljkwqlqj, ru lq Udlqh?",Caesar
"Yd Jxejton, Byqdjxedq, yn sj Vwyxa?",Vigenère
GAPDWMCKMTKIDPAGYQNMGAMRGAIU,Playfair
"IheLtgr nnTudr ihnn,o nRie n,gi ia?",Rail Fence
"Wv Zrevxcp, Lwmrzvwvm, ap wv Piwvc?",Affine
"2. Zkhq wkh Kxuohb-exuohb'v grqh,",Caesar
"2. Mxoj ddu Xkbhui-renbou'c tyju,",Vigenère
VYGMPDFCZMULBDZMULBQHRMG,Playfair
"2htHeuyd,.We h ulybre' oe ner-lsn",Rail Fence
"2. Orcv zrc Replcy-neplcy'u xavc,",Affine
"Zkhq wkh Edwwdloh'v orvw, dqg zrqqh",Caesar
"Mxoj ddu Rqdpqshu'o vkid, kjt sexju",Vigenère
VYGMPDICRSSRESILPMTLRAYZNAMG,Playfair
"W  tel,dnhnteBtal' ot n onehaissawe",Rail Fence
"Orcv zrc Nizziwlc'u lauz, ivx oavvc",Affine
3. Wkdw zloo eh huh wkh vhw ri Vxqqh,Caesar
3. Jxkp gebv ro uba ddu oud ep Cejdo,Vigenère
PDRSXGSUSCIUKMKLCFLIPRIPWMMG,Playfair
3hw etsou.Ta ilb r h e fSne tleeet n,Rail Fence
3. Zriz owll nc cpc zrc ucz ah Uevvc,Affine
1. Zkhuh wkh sodfh?,Caesar
1. Mxonu pxo fvwso?,Vigenère
VYKMKLCFQPMBIU,Playfair
1h  c.Weetepae rhl?,Rail Fence
1. Orcpc zrc flisc?,Affine
2. Ysrq wkh Khdwk,Caesar
2. Lfyj ddu Xukpx,Vigenère
OVNAPDFCIMPD,Playfair
2ptHh.Vo h et nea,Rail Fence
2. Jfav zrc Rcizr,Affine
3. Wkhuh wr phhw zlwk Pdfehwk,Caesar
3. Jxonu pe iuop gejr Wkyropx,Vigenère
PDKMKLNOIUKLXGPDORHDKLBV,Playfair
3h m hch.Teet etwt abt roeiMe,Rail Fence
3. Zrcpc za qccz owzr Qisnczr,Affine
"1. L frph, Judb-Pdonlq",Caesar
"1. Y mkco, Knqi-Wkhasj",Vigenère
EBNOFIMRCNMSEKAW,Playfair
"1 erMi.Icm,Ga-akn o yl",Rail Fence
"1. W saqc, Mpiy-Qilgwv",Affine
"Doo. Sdgrfn fdoov dqrq: idluh lv irxoh, dqg irxoh lv idluh,",Caesar
"Qbv. Twtyya yqvhi wdyj: bqsnu ei beehu, qxz pkkva so pwyba,",Vigenère
MSPQRBMHEDMSPTRANAIOKAFKPIMVULRAHKMVULSXIOKAIU,Playfair
"A ocsofe lafe rl.Pdc al nn ar sfue n ol sfielakla:iio,duia,",Rail Fence
"Ill. Fixasg sillu ivav: hiwpc wu haelc, ivx haelc wu hiwpc,",Affine
Krxhu wkurxjk wkh irjjh dqg ilowklh dbuh.,Caesar
Xeeah pxbkkqd ddu beqcu wdn vshjreu woba.,Vigenère
FHMLDZDOMVFYPDFGNFIFRAHKESPDKFNBMK,Playfair
Hrrhegafha.oe hog h og n iti yeututfedler,Rail Fence
Raecp zrpaemr zrc hammc ivx hwlzrwc iypc.,Affine
Hahxqw.,Caesar
Unoqdd.,Vigenère
IULMRQ,Playfair
Enxute.,Rail Fence
Ctcevz.,Affine
Vfhqd Vhfxqgd.,Caesar
Isojq Iumqdnw.,Vigenère
LBGMBXLEWMBR,Playfair
Sacacn eud.eSn,Rail Fence
Uscvi Ucsevxi.,Affine
"Doduxp zlwklq. Hqwhu Nlqj, Pdofrph, Grqdoedlqh, Ohqra, zlwk",Caesar
"Qbknkw mspxsj. Uddah Ayxc, Cqvyewa, Texwblwyxa, Buxkn, mspx",Vigenère
MSRMMCXGPDGAGMLKDTGAENMSHMCLHRARSCBSMGULANZXKSBV,Playfair
"Auinn gamDlnLxilrmwti.EtrKn,Mloe oabie eo,wta h ei c,na,n h",Rail Fence
"Ilipeq owzrwv. Cvzcp Gwvm, Qilsaqc, Xavilniwvc, Lcvat, owzr",Affine
"dwwhqgdqwv, phhwlqj d eohhglqj Fdswdlqh.",Caesar
"wjdadnwddo, iuopyxc k rvaunedq Mkljkedo.",Vigenère
RSLKRYRALTCLKLGAINCSIUKCGAEYOSSRGAIU,Playfair
"antmiaenaitedns etn  leigCpan.ta,egbd te",Rail Fence
"izzcvxivzu, qcczwvm i nlccxwvm Sifziwvc.",Affine
